loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
6488,1,Graduate,Yes,4340000,63360000,20,559,2200000,3450000,13300000,1900000,Approved
5428,1,Not Graduate,Yes,3500000,36160000,20,392,5350000,650000,10400000,2000000,Approved
3432,4,Graduate,Yes,280000,4480000,20,647,-50000,0,900000,300000,Approved
9113,4,Graduate,Yes,700000,19200000,20,300,350000,250000,1900000,750000,Rejected
886,2,Graduate,Yes,3640000,43200000,20,597,3500000,2600000,15500000,3050000,Approved
3422,5,Graduate,Yes,3080000,45120000,20,483,2650000,2450000,17500000,1300000,Approved
5711,1,Not Graduate,Yes,6510000,96320000,20,543,8250000,4300000,32500000,4550000,Approved
1500,2,Not Graduate,Yes,6860000,73280000,20,608,650000,5150000,27200000,7000000,Approved
5930,3,Graduate,Yes,5810000,63680000,20,300,1200000,3600000,30800000,5350000,Rejected
8225,4,Graduate,Yes,5320000,70400000,20,350,11350000,950000,16500000,3250000,Rejected
4260,0,Not Graduate,Yes,3150000,36800000,20,329,6700000,1150000,15400000,2950000,Rejected
6142,4,Not Graduate,Yes,5460000,68480000,20,300,1350000,5500000,14900000,2200000,Rejected
9621,5,Not Graduate,Yes,3570000,30400000,20,300,6150000,5050000,8600000,2300000,Rejected
9062,3,Graduate,Yes,2730000,30080000,20,647,2350000,900000,19900000,2800000,Approved
5264,5,Graduate,Yes,3779999,46720000,20,572,850000,500000,13300000,2000000,Approved
7272,0,Graduate,Yes,6580000,92160000,20,300,9250000,4300000,30800000,4800000,Rejected
4840,4,Not Graduate,Yes,1610000,11840000,20,300,150000,400000,8400000,1350000,Rejected
8048,2,Graduate,Yes,560000,18880000,20,617,2050000,0,7100000,250000,Approved
48,1,Graduate,Yes,3430000,61120000,20,497,2700000,4550000,17700000,3250000,Approved
3245,3,Not Graduate,Yes,4970000,81280000,20,545,10300000,2650000,16000000,4300000,Approved
8389,2,Graduate,Yes,5600000,59200000,20,464,5100000,5400000,24800000,3250000,Approved
7855,1,Not Graduate,Yes,979999,22080000,20,426,700000,2000000,4600000,200000,Approved
3880,3,Graduate,Yes,5670000,63680000,20,300,11400000,7200000,29800000,2750000,Rejected
7498,4,Not Graduate,Yes,2870000,54400000,20,618,3650000,550000,12700000,950000,Approved
5844,2,Not Graduate,Yes,140000,2240000,20,300,1850000,750000,1200000,50000,Rejected
9040,0,Graduate,Yes,2380000,20160000,20,430,1450000,0,13700000,1350000,Approved
4503,0,Graduate,Yes,5810000,85440000,20,565,3200000,8250000,20400000,3600000,Approved
6783,2,Graduate,Yes,2940000,42880000,20,300,2800000,1650000,11100000,2150000,Rejected
2792,4,Not Graduate,Yes,560000,8960000,20,465,450000,700000,2300000,300000,Approved
7966,4,Graduate,Yes,2730000,29760000,20,466,950000,950000,9300000,400000,Approved
8521,2,Not Graduate,Yes,4340000,82560000,20,583,5550000,3400000,21000000,2450000,Approved
8905,5,Not Graduate,Yes,2940000,17280000,20,516,500000,350000,14900000,2050000,Approved
7533,0,Not Graduate,Yes,4059999,60480000,20,372,4700000,1200000,13500000,2600000,Approved
4808,0,Not Graduate,Yes,840000,16000000,20,599,450000,200000,3900000,1100000,Approved
7179,5,Not Graduate,Yes,6090000,90240000,20,300,6250000,6500000,24800000,3050000,Rejected
965,1,Graduate,Yes,1889999,25920000,20,511,1000000,1800000,8100000,1050000,Approved
1224,2,Graduate,Yes,1120000,12160000,20,657,1900000,550000,5500000,800000,Approved
8518,3,Graduate,Yes,4480000,32320000,20,604,5300000,100000,14300000,3300000,Approved
3809,5,Graduate,Yes,6440000,111360000,20,622,11000000,5500000,19800000,6250000,Approved
9337,1,Not Graduate,Yes,5530000,85440000,20,483,3400000,8450000,26900000,4600000,Approved
4774,4,Graduate,Yes,4059999,44480000,20,300,3800000,5750000,15800000,3050000,Rejected
3951,4,Not Graduate,Yes,3080000,55040000,20,383,2050000,1850000,12700000,1450000,Approved
1778,5,Graduate,Yes,2590000,38400000,20,425,2450000,900000,13200000,1550000,Approved
5641,1,Graduate,Yes,6370000,79040000,20,300,5500000,950000,21900000,4550000,Rejected
3107,0,Graduate,Yes,3919999,37120000,20,300,7500000,3700000,21800000,3750000,Rejected
2784,5,Graduate,Yes,2380000,36160000,20,691,3250000,1950000,9700000,1200000,Approved
1612,0,Graduate,Yes,1260000,18240000,20,300,250000,350000,5600000,850000,Rejected
9995,5,Graduate,Yes,6090000,92480000,20,499,9100000,2800000,28500000,3100000,Approved
9644,5,Graduate,Yes,910000,17280000,20,465,300000,250000,5300000,2100000,Approved
5909,3,Graduate,Yes,3570000,59520000,20,537,6100000,2350000,15300000,2000000,Approved
2714,5,Not Graduate,Yes,2800000,26240000,20,391,1750000,3850000,9500000,2200000,Approved
7304,1,Graduate,Yes,6160000,94080000,20,452,9500000,6900000,23400000,4000000,Approved
8277,3,Graduate,Yes,3430000,39360000,20,474,1300000,1900000,19700000,2300000,Approved
2936,2,Not Graduate,Yes,1610000,25920000,20,324,900000,1550000,4600000,1550000,Approved
7549,0,Graduate,Yes,6300000,92480000,20,358,10000000,2950000,22200000,3200000,Rejected
1567,5,Not Graduate,Yes,2590000,37440000,20,300,4200000,2750000,12000000,1350000,Approved
6240,2,Not Graduate,Yes,3500000,42240000,20,497,2100000,550000,11700000,2400000,Approved
8899,4,Graduate,Yes,5320000,71040000,20,413,250000,200000,20000000,2700000,Approved
7578,4,Not Graduate,Yes,630000,9920000,20,342,750000,2000000,600000,250000,Rejected
8067,5,Not Graduate,Yes,560000,8640000,20,389,50000,400000,2900000,550000,Approved
5159,3,Graduate,Yes,1820000,23680000,20,380,700000,150000,8300000,200000,Approved
2396,0,Not Graduate,Yes,5600000,97280000,20,596,8300000,700000,29100000,3900000,Approved
6822,5,Not Graduate,Yes,2450000,52480000,20,550,2300000,100000,11000000,1050000,Approved
6781,1,Graduate,Yes,2029999,18880000,20,651,4750000,300000,8200000,650000,Approved
9822,1,Not Graduate,Yes,3290000,46720000,20,590,900000,450000,16300000,3400000,Approved
6794,4,Not Graduate,Yes,2450000,49920000,20,441,950000,1800000,9800000,1250000,Approved
2040,5,Not Graduate,Yes,2240000,23680000,20,403,4700000,2750000,10600000,1800000,Approved
9890,3,Graduate,Yes,3640000,62720000,20,648,1350000,2400000,20800000,2350000,Approved
4671,5,Not Graduate,Yes,2100000,24000000,20,631,2450000,1050000,8700000,1900000,Approved
1161,4,Not Graduate,Yes,4900000,75200000,20,300,7500000,4750000,19700000,3900000,Rejected
9165,5,Not Graduate,Yes,5390000,76480000,20,406,8050000,4450000,21100000,4400000,Approved
6237,5,Not Graduate,Yes,6650000,91200000,20,530,3950000,1550000,35000000,6100000,Approved
5727,2,Graduate,Yes,350000,5760000,20,300,1000000,450000,1000000,400000,Rejected
548,5,Graduate,Yes,6860000,120320000,20,300,9600000,2550000,19900000,2550000,Rejected
9240,1,Graduate,Yes,489999,5760000,20,355,2800000,100000,1300000,350000,Rejected
