loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
156,5,Not Graduate,No,7500000,20160000,8,626,9100000,500000,14000000,4600000,Approved
9472,4,Graduate,No,14250000,55620000,6,300,24500000,17800000,29300000,11400000,Rejected
2602,4,Graduate,Yes,10500000,39060000,20,423,6600000,5500000,14700000,3900000,Rejected
7725,5,Not Graduate,Yes,2100000,6120000,8,424,5500000,2600000,1800000,2200000,Rejected
5394,4,Not Graduate,Yes,5850000,19080000,16,567,4700000,4100000,15600000,4200000,Approved
3677,5,Not Graduate,Yes,11850000,28980000,18,300,17300000,2900000,29900000,9300000,Rejected
6927,5,Not Graduate,Yes,12750000,42840000,20,735,9900000,1700000,32700000,8500000,Approved
2852,5,Graduate,Yes,14250000,58500000,14,506,2800000,14300000,36000000,4700000,Approved
7572,5,Graduate,No,450000,1260000,2,581,3000000,200000,700000,500000,Approved
751,4,Graduate,No,2250000,6480000,4,509,3900000,1300000,4800000,1700000,Approved
7388,5,Not Graduate,No,450000,2340000,14,676,3500000,600000,800000,200000,Approved
5291,5,Not Graduate,No,10350000,41580000,2,539,21300000,3200000,24500000,8300000,Approved
8253,5,Graduate,No,11400000,39420000,18,527,9400000,2300000,23400000,2200000,Approved
8035,5,Not Graduate,Yes,13950000,57780000,8,559,14800000,9300000,26900000,11400000,Approved
7714,4,Not Graduate,Yes,4050000,7200000,6,641,4700000,0,14700000,3600000,Approved
5230,5,Not Graduate,No,9000000,26460000,18,300,5900000,5600000,15300000,6400000,Rejected
1433,5,Not Graduate,Yes,4350000,14040000,18,513,400000,100000,11600000,4200000,Approved
1520,5,Graduate,Yes,11850000,38700000,16,422,2200000,5200000,23100000,7700000,Rejected
5890,4,Graduate,Yes,12000000,41580000,20,754,3500000,13800000,25100000,11800000,Approved
3105,5,Not Graduate,Yes,9600000,34740000,6,339,7200000,1800000,19100000,3900000,Rejected
4839,4,Graduate,No,7200000,13320000,16,651,8000000,6500000,9700000,9200000,Approved
9375,4,Not Graduate,Yes,12900000,48600000,6,300,3800000,9100000,30500000,7000000,Rejected
8750,5,Graduate,No,4050000,20160000,4,661,4300000,600000,8000000,4800000,Approved
1026,5,Not Graduate,No,9150000,42480000,4,650,17400000,5100000,15600000,4800000,Approved
14,5,Graduate,Yes,13650000,56700000,14,604,10800000,16600000,20900000,5000000,Approved
5262,4,Graduate,Yes,12900000,46260000,4,300,7200000,16000000,29100000,9800000,Rejected
4884,5,Graduate,Yes,13350000,47340000,20,463,17700000,13200000,26800000,7900000,Rejected
7871,5,Graduate,Yes,12000000,48240000,12,403,6700000,3300000,23700000,8500000,Rejected
7333,5,Graduate,No,11850000,51660000,14,728,2200000,9700000,28500000,8800000,Approved
5324,5,Graduate,No,12000000,31500000,18,811,3100000,8900000,26400000,5400000,Approved
9784,5,Not Graduate,Yes,14250000,45720000,20,452,12000000,14700000,28200000,9400000,Rejected
8546,5,Graduate,Yes,10050000,35100000,14,372,15200000,2000000,20100000,6300000,Rejected
7481,4,Graduate,No,13350000,39420000,4,623,16800000,12000000,27300000,8800000,Approved
8531,5,Not Graduate,Yes,10500000,39600000,16,760,2700000,6100000,18100000,8100000,Approved
3006,5,Graduate,Yes,9600000,39420000,12,624,15700000,500000,17200000,3800000,Approved
1255,4,Not Graduate,Yes,14700000,64260000,10,651,9400000,18900000,31200000,12000000,Approved
4487,4,Not Graduate,Yes,2550000,8820000,4,651,300000,1700000,5100000,1100000,Approved
3015,4,Graduate,Yes,3750000,14400000,8,389,4000000,3000000,9000000,3000000,Rejected
7024,5,Not Graduate,No,10650000,36720000,20,300,13600000,3300000,16600000,7300000,Rejected
898,5,Graduate,No,5550000,16200000,18,593,7800000,1600000,13400000,3100000,Approved
7535,5,Not Graduate,Yes,5550000,39420000,2,599,14200000,5100000,11600000,3700000,Approved
1844,5,Graduate,Yes,1800000,6300000,16,465,3100000,1800000,3500000,800000,Rejected
1530,5,Graduate,Yes,13500000,60480000,2,351,21600000,16200000,20700000,11900000,Approved
4514,5,Graduate,No,13200000,48960000,20,775,3700000,8800000,25000000,5100000,Approved
5514,4,Not Graduate,No,11700000,36360000,6,715,10800000,17900000,17900000,8700000,Approved
5145,5,Graduate,Yes,14400000,63360000,6,368,24200000,12800000,34900000,12900000,Rejected
7703,5,Graduate,No,7050000,25920000,18,668,4900000,8300000,20100000,7100000,Approved
9866,5,Not Graduate,No,7050000,36000000,8,727,9900000,6000000,13000000,4700000,Approved
234,5,Not Graduate,Yes,13200000,62280000,8,311,14800000,16500000,18400000,6000000,Rejected
7941,5,Not Graduate,Yes,12300000,35820000,8,336,9200000,10900000,22900000,9900000,Rejected
1143,5,Graduate,No,9750000,43380000,20,413,3300000,6000000,22900000,9700000,Rejected
4172,5,Graduate,Yes,12600000,47160000,14,568,19400000,11500000,17900000,6900000,Approved
8945,4,Graduate,Yes,8550000,32940000,12,370,3600000,7700000,9600000,4000000,Rejected
9397,4,Graduate,Yes,1350000,12420000,12,300,6600000,1500000,4500000,2100000,Rejected
2726,5,Not Graduate,Yes,11550000,37800000,12,345,16100000,4300000,27400000,10500000,Rejected
4434,5,Not Graduate,Yes,9450000,23760000,10,395,3200000,500000,15500000,3800000,Rejected
4596,4,Graduate,No,600000,2160000,10,812,400000,500000,1900000,200000,Approved
5218,5,Graduate,No,900000,2340000,16,454,2300000,100000,2700000,400000,Rejected
491,5,Not Graduate,No,4350000,15300000,14,759,1200000,4500000,8800000,1800000,Approved
6518,5,Graduate,No,450000,1260000,2,558,900000,0,800000,500000,Approved
9604,4,Not Graduate,Yes,4050000,13140000,8,314,7200000,2800000,9700000,1400000,Rejected
658,5,Graduate,Yes,10650000,37440000,6,367,2900000,7100000,28200000,7100000,Rejected
477,5,Not Graduate,No,6150000,24300000,18,415,4700000,6200000,13900000,2000000,Rejected
2808,5,Not Graduate,Yes,2400000,11520000,4,712,1000000,300000,5500000,1100000,Approved
4054,5,Not Graduate,Yes,10500000,36540000,14,762,7700000,2200000,19700000,5500000,Approved
5698,4,Graduate,Yes,450000,1620000,10,468,9600000,0,5300000,400000,Rejected
