loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status,applicant_age
1,2,Graduate,No,24000000.0,104650000.0,20,628,2400000,17600000,22700000,8000000,Approved,49
2,0,Not Graduate,Yes,10250000.0,42700000.0,20,300,2700000,2200000,8800000,3300000,Rejected,60
3,3,Graduate,No,22750000.0,103950000.0,20,356,7100000,4500000,33300000,12800000,Rejected,52
4,3,Graduate,No,20500000.0,107450000.0,20,317,18200000,3300000,23300000,7900000,Rejected,47
5,5,Not Graduate,Yes,24500000.0,84700000.0,20,300,12400000,8200000,29400000,5000000,Rejected,57
6,0,Graduate,Yes,12000000.0,47250000.0,20,300,6800000,8300000,13700000,5100000,Rejected,65
7,5,Graduate,No,21750000.0,115500000.0,20,528,22500000,14800000,29200000,4300000,Approved,69
8,2,Graduate,Yes,14250000.0,52500000.0,20,300,13200000,5700000,11800000,6000000,Rejected,67
9,0,Graduate,Yes,2000000.0,7700000.0,20,632,1300000,800000,2800000,600000,Approved,53
10,5,Not Graduate,No,2750000.0,15050000.0,20,300,3200000,1400000,3300000,1600000,Rejected,59
11,4,Graduate,Yes,7250000.0,39200000.0,20,397,8100000,4700000,9500000,3100000,Approved,45
12,2,Not Graduate,Yes,16750000.0,79450000.0,20,388,15300000,5800000,20400000,6400000,Rejected,48
13,3,Not Graduate,Yes,12500000.0,40600000.0,20,300,6400000,9600000,14600000,4300000,Rejected,67
14,2,Graduate,Yes,22750000.0,110250000.0,20,529,10800000,16600000,20900000,5000000,Approved,54
15,1,Not Graduate,No,4750000.0,25900000.0,20,319,1900000,1200000,5900000,1900000,Rejected,68
16,5,Not Graduate,No,11750000.0,37450000.0,20,644,5700000,3900000,16400000,4400000,Approved,50
17,2,Graduate,Yes,1250000.0,5600000.0,20,513,1300000,100000,1300000,700000,Approved,54
18,4,Not Graduate,Yes,7250000.0,32900000.0,20,630,2900000,2800000,6700000,4300000,Approved,50
19,2,Graduate,No,6750000.0,36050000.0,20,586,1000000,0,6200000,3300000,Approved,69
20,5,Graduate,No,15750000.0,51100000.0,20,502,10300000,3500000,23500000,5900000,Approved,52
21,2,Graduate,No,12500000.0,67900000.0,20,300,9500000,1600000,18000000,6100000,Rejected,41
22,4,Graduate,No,14500000.0,49000000.0,20,380,3800000,11300000,22200000,5400000,Rejected,60
23,4,Graduate,Yes,16250000.0,89950000.0,20,300,13100000,1700000,19500000,8500000,Rejected,63
24,0,Not Graduate,Yes,1250000.0,4900000.0,20,401,900000,600000,1100000,300000,Approved,41
25,0,Not Graduate,No,12250000.0,34300000.0,20,300,3800000,8700000,10000000,3300000,Rejected,59
