loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
7646,4,Not Graduate,Yes,6637772,13900000,6,520,9300000,5100000,18100000,6100000,Rejected
6548,2,Graduate,Yes,5362839,12600000,6,563,4400000,1100000,12600000,4400000,Approved
1952,0,Not Graduate,Yes,2465374,6700000,18,544,4500000,3400000,6200000,1300000,Approved
8536,5,Graduate,Yes,7256016,21000000,18,612,5000000,11800000,24400000,5100000,Approved
1468,1,Graduate,Yes,9106826,33500000,4,723,7900000,9800000,25700000,11500000,Approved
8657,4,Not Graduate,Yes,6179055,16900000,6,818,3500000,3700000,21600000,5400000,Approved
4925,2,Graduate,Yes,4906016,15300000,20,464,15900000,4600000,13100000,6000000,Rejected
2955,0,Not Graduate,Yes,1827385,3900000,4,739,2200000,700000,3500000,1200000,Approved
1959,4,Graduate,No,4212208,14600000,8,300,6300000,5900000,11700000,3000000,Rejected
2676,4,Graduate,Yes,5376159,17100000,4,508,13800000,5100000,12200000,4700000,Approved
3530,1,Not Graduate,No,9753368,20700000,20,796,12700000,8200000,38100000,11100000,Approved
7268,2,Graduate,No,2401078,6900000,10,441,1000000,300000,6800000,1900000,Rejected
2479,5,Graduate,No,7333619,27100000,6,300,19800000,14600000,25200000,9400000,Approved
2277,4,Not Graduate,No,8688444,17400000,4,762,11700000,10600000,18400000,10600000,Approved
6106,1,Not Graduate,No,7660707,21200000,10,358,12200000,6200000,18200000,7500000,Rejected
5278,1,Not Graduate,No,7215523,23400000,20,483,23400000,1100000,20400000,7500000,Rejected
7235,4,Not Graduate,Yes,1879543,5900000,8,720,2900000,1100000,2300000,1000000,Approved
1733,1,Graduate,Yes,5548414,12100000,6,325,6300000,9200000,17200000,6900000,Rejected
8967,5,Graduate,No,8147035,28900000,8,807,25200000,2400000,25500000,7800000,Approved
6207,4,Graduate,Yes,8839856,23500000,14,526,7700000,3800000,27600000,8000000,Approved
7594,0,Not Graduate,No,6653248,18300000,20,451,9300000,11500000,20100000,3800000,Rejected
1801,2,Graduate,No,9393325,21200000,4,484,2800000,2600000,35800000,6600000,Rejected
9044,5,Graduate,Yes,8830593,26300000,12,613,2400000,10500000,32700000,9100000,Approved
4864,3,Not Graduate,No,1887709,7300000,12,567,3800000,400000,5500000,4200000,Approved
4167,1,Graduate,No,500513,1300000,16,594,1500000,100000,2000000,500000,Approved
4982,0,Graduate,No,4239933,12400000,8,408,1200000,5900000,8600000,7600000,Rejected
