loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
363,1,Not Graduate,Yes,9054466,32260860,16,473,4500000,16400000,28600000,10900000,Rejected
4512,5,Graduate,No,2609331,8962419,10,567,5200000,0,7700000,1000000,Approved
2933,1,Not Graduate,Yes,2826917,9072394,14,515,2400000,4200000,10400000,3000000,Rejected
5071,3,Not Graduate,No,3774931,10209586,14,859,3900000,2800000,5200000,2800000,Approved
1751,2,Graduate,No,4264848,9839124,2,497,4400000,4500000,12600000,5100000,Rejected
9639,3,Not Graduate,Yes,5849962,23675936,10,342,400000,2500000,14000000,7800000,Rejected
7316,1,Not Graduate,Yes,9557006,27892951,10,774,12300000,6100000,27000000,10700000,Approved
1464,2,Not Graduate,Yes,399862,1408358,2,478,200000,700000,1600000,200000,Approved
1426,3,Not Graduate,Yes,2521396,9749554,16,421,4700000,3200000,5800000,1300000,Rejected
7425,3,Not Graduate,No,403219,500715,20,604,200000,400000,900000,1200000,Approved
7187,3,Graduate,Yes,2598452,7676981,6,396,5600000,6500000,4900000,3600000,Rejected
4781,5,Graduate,Yes,297006,801957,4,741,0,0,700000,200000,Approved
3727,2,Not Graduate,No,8420503,28125523,10,820,1800000,16000000,33000000,4400000,Approved
3157,1,Not Graduate,No,3231883,6600272,16,534,8800000,2600000,6500000,1800000,Rejected
5358,3,Graduate,Yes,3307716,6827196,16,369,600000,8500000,16700000,4300000,Rejected
1676,5,Not Graduate,No,7889501,29699007,6,568,5800000,13900000,15900000,8700000,Approved
7449,1,Not Graduate,No,1307573,3912419,10,560,2900000,7500000,4600000,1700000,Approved
2573,4,Graduate,Yes,6984924,19673875,8,711,17600000,2600000,24300000,4500000,Approved
7673,5,Not Graduate,Yes,8624582,23254782,20,793,5400000,7000000,19300000,9200000,Approved
6946,0,Graduate,Yes,4636867,12371511,8,411,6100000,1700000,10500000,6800000,Rejected
268,0,Graduate,No,8546076,20734979,10,816,11300000,11900000,26000000,4800000,Approved
7761,4,Not Graduate,No,9395790,33631565,14,659,14300000,18200000,32700000,12400000,Approved
9219,5,Graduate,No,8147360,17954546,16,761,16800000,8400000,26500000,7000000,Approved
6178,5,Not Graduate,No,799268,2404386,8,501,0,0,3000000,700000,Rejected
5879,1,Not Graduate,No,5750253,22093045,16,845,6800000,16500000,18500000,4000000,Approved
8986,5,Graduate,Yes,198349,599892,2,810,0,0,400000,200000,Approved
840,2,Not Graduate,Yes,2014432,6707354,14,639,4900000,200000,4900000,2300000,Approved
8994,4,Not Graduate,No,2208531,8159126,4,675,1900000,3400000,6600000,3600000,Approved
9646,4,Graduate,Yes,3523482,11153728,6,411,6100000,500000,6000000,2200000,Rejected
7980,4,Not Graduate,No,1703696,4074643,16,886,2900000,5000000,4800000,1500000,Approved
7396,2,Not Graduate,Yes,595046,4297251,20,310,3800000,1400000,1600000,2700000,Rejected
1466,2,Not Graduate,Yes,3804820,7964547,12,863,6000000,600000,8400000,1900000,Approved
5038,2,Not Graduate,No,6640673,21297790,18,334,7900000,7500000,13700000,3300000,Rejected
5200,5,Not Graduate,Yes,3885749,4756769,10,359,7300000,5800000,7200000,800000,Rejected
2146,2,Graduate,No,3329766,7913135,20,833,4800000,2100000,13200000,2600000,Approved
6645,1,Graduate,Yes,4973298,18870806,10,603,13800000,3300000,9100000,5800000,Approved
1454,2,Not Graduate,No,4106938,11164439,8,393,800000,3100000,10100000,3400000,Rejected
5047,3,Graduate,Yes,9133904,33032003,16,827,22000000,8000000,33700000,6200000,Approved
8069,4,Graduate,No,5799645,11968744,10,750,3100000,4500000,12200000,4800000,Approved
2807,5,Graduate,Yes,6529376,18142813,4,331,8100000,400000,21700000,7000000,Rejected
179,4,Not Graduate,No,5602315,13400778,20,869,3300000,7500000,20000000,6500000,Approved
4406,4,Not Graduate,Yes,3079292,6256164,20,653,1700000,5800000,5700000,5800000,Approved
9144,5,Graduate,Yes,7657807,14484163,4,583,15600000,14900000,22100000,5800000,Approved
3115,4,Graduate,No,1089187,3607236,8,693,2400000,1300000,3800000,1500000,Approved
251,0,Not Graduate,Yes,4209675,16306488,20,534,9500000,2100000,11400000,3100000,Rejected
4575,3,Graduate,Yes,4173802,11805022,14,771,3900000,600000,17700000,1100000,Approved
4353,0,Not Graduate,No,9436175,32186527,20,419,1200000,15500000,34100000,11800000,Rejected
1564,3,Not Graduate,Yes,503075,1697053,2,807,500000,500000,1400000,200000,Approved
8519,3,Graduate,No,6039181,19063281,16,315,10000000,5900000,13900000,5300000,Rejected
9729,3,Graduate,Yes,7032346,22667938,12,546,4200000,8600000,24900000,3400000,Approved
8060,3,Not Graduate,No,397575,1101982,20,888,2400000,200000,2800000,1400000,Approved
4653,1,Graduate,No,6587581,21273148,4,848,10800000,1600000,24100000,2400000,Approved
713,0,Graduate,Yes,6079998,19718951,16,673,13700000,2300000,19300000,5500000,Approved
